year,spp,major,region,nation,catch,units
1961,391,2,3B,CA,3000,lbs
1962,391,2,3B,CA,2000,lbs
1963,391,2,3B,CA,3000,lbs
1964,391,2,3B,CA,2000,lbs
1967,391,2,3B,CA,1000,lbs
1968,391,2,3B,CA,12000,lbs
1971,391,2,3B,CA,1000,lbs
1972,391,2,3B,CA,1000,lbs
1950,391,2,3B,US,3811000,lbs
1951,391,2,3B,US,2415000,lbs
1952,391,2,3B,US,2658000,lbs
1953,391,2,3B,US,1233000,lbs
1954,391,2,3B,US,1654000,lbs
1955,391,2,3B,US,1652000,lbs
1956,391,2,3B,US,1770000,lbs
1957,391,2,3B,US,835000,lbs
1958,391,2,3B,US,2399000,lbs
1959,391,2,3B,US,1361000,lbs
1960,391,2,3B,US,1077000,lbs
1961,391,2,3B,US,1069000,lbs
1962,391,2,3B,US,921000,lbs
1963,391,2,3B,US,1077000,lbs
1964,391,2,3B,US,1284000,lbs
1965,391,2,3B,US,1166000,lbs
1966,391,2,3B,US,1259000,lbs
1967,391,2,3B,US,572000,lbs
1968,391,2,3B,US,2804000,lbs
1969,391,2,3B,US,3528000,lbs
1970,391,2,3B,US,1092000,lbs
1971,391,2,3B,US,1235000,lbs
1972,391,2,3B,US,904000,lbs
1973,391,2,3B,US,477000,lbs
1974,391,2,3B,US,525000,lbs
1975,391,2,3B,US,1210000,lbs
1950,391,3,3C,CA,31000,lbs
1951,391,3,3C,CA,48000,lbs
1952,391,3,3C,CA,124000,lbs
1953,391,3,3C,CA,35000,lbs
1954,391,3,3C,CA,118000,lbs
1955,391,3,3C,CA,65000,lbs
1956,391,3,3C,CA,27000,lbs
1957,391,3,3C,CA,22000,lbs
1958,391,3,3C,CA,13000,lbs
1959,391,3,3C,CA,29000,lbs
1960,391,3,3C,CA,16000,lbs
1961,391,3,3C,CA,36000,lbs
1962,391,3,3C,CA,36000,lbs
1963,391,3,3C,CA,25000,lbs
1964,391,3,3C,CA,26000,lbs
1965,391,3,3C,CA,20000,lbs
1966,391,3,3C,CA,46000,lbs
1967,391,3,3C,CA,32000,lbs
1968,391,3,3C,CA,29000,lbs
1969,391,3,3C,CA,78000,lbs
1970,391,3,3C,CA,134000,lbs
1971,391,3,3C,CA,233000,lbs
1972,391,3,3C,CA,91000,lbs
1973,391,3,3C,CA,106000,lbs
1974,391,3,3C,CA,156000,lbs
1975,391,3,3C,CA,85000,lbs
1950,391,3,3C,US,1919000,lbs
1951,391,3,3C,US,1867000,lbs
1952,391,3,3C,US,1439000,lbs
1953,391,3,3C,US,739000,lbs
1954,391,3,3C,US,769000,lbs
1955,391,3,3C,US,695000,lbs
1956,391,3,3C,US,630000,lbs
1957,391,3,3C,US,843000,lbs
1958,391,3,3C,US,635000,lbs
1959,391,3,3C,US,2331000,lbs
1960,391,3,3C,US,2350000,lbs
1961,391,3,3C,US,2392000,lbs
1962,391,3,3C,US,2943000,lbs
1963,391,3,3C,US,1308000,lbs
1964,391,3,3C,US,1237000,lbs
1965,391,3,3C,US,1453000,lbs
1966,391,3,3C,US,1405000,lbs
1967,391,3,3C,US,653000,lbs
1968,391,3,3C,US,1088000,lbs
1969,391,3,3C,US,1354000,lbs
1970,391,3,3C,US,1354000,lbs
1971,391,3,3C,US,1246000,lbs
1972,391,3,3C,US,783000,lbs
1973,391,3,3C,US,610000,lbs
1974,391,3,3C,US,193000,lbs
1975,391,3,3C,US,639000,lbs
1950,391,4,3D,CA,7000,lbs
1951,391,4,3D,CA,10000,lbs
1952,391,4,3D,CA,4000,lbs
1953,391,4,3D,CA,1000,lbs
1954,391,4,3D,CA,10000,lbs
1955,391,4,3D,CA,13000,lbs
1956,391,4,3D,CA,2000,lbs
1958,391,4,3D,CA,2000,lbs
1960,391,4,3D,CA,4000,lbs
1961,391,4,3D,CA,6000,lbs
1962,391,4,3D,CA,31000,lbs
1963,391,4,3D,CA,1000,lbs
1964,391,4,3D,CA,13000,lbs
1965,391,4,3D,CA,72000,lbs
1966,391,4,3D,CA,24000,lbs
1967,391,4,3D,CA,18000,lbs
1968,391,4,3D,CA,108000,lbs
1969,391,4,3D,CA,198000,lbs
1970,391,4,3D,CA,173000,lbs
1971,391,4,3D,CA,131000,lbs
1972,391,4,3D,CA,47000,lbs
1973,391,4,3D,CA,79000,lbs
1974,391,4,3D,CA,77000,lbs
1975,391,4,3D,CA,44000,lbs
1950,391,4,3D,US,1654000,lbs
1951,391,4,3D,US,1056000,lbs
1952,391,4,3D,US,1174000,lbs
1953,391,4,3D,US,536000,lbs
1954,391,4,3D,US,614000,lbs
1955,391,4,3D,US,821000,lbs
1956,391,4,3D,US,892000,lbs
1957,391,4,3D,US,956000,lbs
1958,391,4,3D,US,652000,lbs
1959,391,4,3D,US,782000,lbs
1960,391,4,3D,US,821000,lbs
1961,391,4,3D,US,1530000,lbs
1962,391,4,3D,US,2428000,lbs
1963,391,4,3D,US,1862000,lbs
1964,391,4,3D,US,755000,lbs
1965,391,4,3D,US,1065000,lbs
1966,391,4,3D,US,1772000,lbs
1967,391,4,3D,US,1393000,lbs
1968,391,4,3D,US,1690000,lbs
1969,391,4,3D,US,2557000,lbs
1970,391,4,3D,US,3010000,lbs
1971,391,4,3D,US,1850000,lbs
1972,391,4,3D,US,1775000,lbs
1973,391,4,3D,US,1762000,lbs
1974,391,4,3D,US,2077000,lbs
1975,391,4,3D,US,1382000,lbs
1950,391,68,4A,US,2246000,lbs
1951,391,68,4A,US,211000,lbs
1952,391,68,4A,US,230000,lbs
1953,391,68,4A,US,162000,lbs
1954,391,68,4A,US,96000,lbs
1955,391,68,4A,US,62000,lbs
1956,391,68,4A,US,93000,lbs
1957,391,68,4A,US,99000,lbs
1958,391,68,4A,US,74000,lbs
1959,391,68,4A,US,89000,lbs
1960,391,68,4A,US,118000,lbs
1961,391,68,4A,US,75000,lbs
1962,391,68,4A,US,76000,lbs
1963,391,68,4A,US,175000,lbs
1964,391,68,4A,US,126000,lbs
1965,391,68,4A,US,105000,lbs
1966,391,68,4A,US,62000,lbs
1967,391,68,4A,US,76000,lbs
1968,391,68,4A,US,43000,lbs
1969,391,68,4A,US,54000,lbs
1970,391,68,4A,US,138000,lbs
1971,391,68,4A,US,79000,lbs
1972,391,68,4A,US,41000,lbs
1973,391,68,4A,US,57000,lbs
1974,391,68,4A,US,59000,lbs
1975,391,68,4A,US,81000,lbs
1950,391,1,4B,CA,63000,lbs
1951,391,1,4B,CA,208000,lbs
1952,391,1,4B,CA,138000,lbs
1953,391,1,4B,CA,116000,lbs
1954,391,1,4B,CA,97000,lbs
1955,391,1,4B,CA,73000,lbs
1956,391,1,4B,CA,60000,lbs
1957,391,1,4B,CA,73000,lbs
1958,391,1,4B,CA,56000,lbs
1959,391,1,4B,CA,85000,lbs
1960,391,1,4B,CA,76000,lbs
1961,391,1,4B,CA,113000,lbs
1962,391,1,4B,CA,87000,lbs
1963,391,1,4B,CA,83000,lbs
1964,391,1,4B,CA,120000,lbs
1965,391,1,4B,CA,80000,lbs
1966,391,1,4B,CA,132000,lbs
1967,391,1,4B,CA,37000,lbs
1968,391,1,4B,CA,74000,lbs
1969,391,1,4B,CA,68000,lbs
1970,391,1,4B,CA,95000,lbs
1971,391,1,4B,CA,64000,lbs
1972,391,1,4B,CA,85000,lbs
1973,391,1,4B,CA,54000,lbs
1974,391,1,4B,CA,46000,lbs
1975,391,1,4B,CA,63000,lbs
1950,391,5,5A,CA,15000,lbs
1951,391,5,5A,CA,10000,lbs
1952,391,5,5A,CA,28000,lbs
1953,391,5,5A,CA,2000,lbs
1954,391,5,5A,CA,6000,lbs
1955,391,5,5A,CA,8000,lbs
1957,391,5,5A,CA,40000,lbs
1958,391,5,5A,CA,50000,lbs
1959,391,5,5A,CA,169000,lbs
1960,391,5,5A,CA,28000,lbs
1961,391,5,5A,CA,29000,lbs
1962,391,5,5A,CA,56000,lbs
1963,391,5,5A,CA,58000,lbs
1964,391,5,5A,CA,358000,lbs
1965,391,5,5A,CA,225000,lbs
1966,391,5,5A,CA,119000,lbs
1967,391,5,5A,CA,299000,lbs
1968,391,5,5A,CA,340000,lbs
1969,391,5,5A,CA,454000,lbs
1970,391,5,5A,CA,397000,lbs
1971,391,5,5A,CA,427000,lbs
1972,391,5,5A,CA,869000,lbs
1973,391,5,5A,CA,1390000,lbs
1974,391,5,5A,CA,475000,lbs
1975,391,5,5A,CA,361000,lbs
1950,391,5,5A,US,2246000,lbs
1951,391,5,5A,US,1266000,lbs
1952,391,5,5A,US,1439000,lbs
1953,391,5,5A,US,713000,lbs
1954,391,5,5A,US,568000,lbs
1955,391,5,5A,US,1417000,lbs
1956,391,5,5A,US,1485000,lbs
1957,391,5,5A,US,626000,lbs
1958,391,5,5A,US,918000,lbs
1959,391,5,5A,US,1037000,lbs
1960,391,5,5A,US,459000,lbs
1961,391,5,5A,US,902000,lbs
1962,391,5,5A,US,1394000,lbs
1963,391,5,5A,US,1237000,lbs
1964,391,5,5A,US,975000,lbs
1965,391,5,5A,US,1291000,lbs
1966,391,5,5A,US,3174000,lbs
1967,391,5,5A,US,1810000,lbs
1968,391,5,5A,US,3001000,lbs
1969,391,5,5A,US,5617000,lbs
1970,391,5,5A,US,3458000,lbs
1971,391,5,5A,US,3176000,lbs
1972,391,5,5A,US,3352000,lbs
1973,391,5,5A,US,4573000,lbs
1974,391,5,5A,US,2492000,lbs
1975,391,5,5A,US,1090000,lbs
1950,391,6,5B,CA,26000,lbs
1951,391,6,5B,CA,76000,lbs
1952,391,6,5B,CA,200000,lbs
1953,391,6,5B,CA,20000,lbs
1954,391,6,5B,CA,116000,lbs
1955,391,6,5B,CA,135000,lbs
1956,391,6,5B,CA,84000,lbs
1957,391,6,5B,CA,91000,lbs
1958,391,6,5B,CA,94000,lbs
1959,391,6,5B,CA,326000,lbs
1960,391,6,5B,CA,48000,lbs
1961,391,6,5B,CA,86000,lbs
1962,391,6,5B,CA,401000,lbs
1963,391,6,5B,CA,168000,lbs
1964,391,6,5B,CA,207000,lbs
1965,391,6,5B,CA,210000,lbs
1966,391,6,5B,CA,168000,lbs
1967,391,6,5B,CA,63000,lbs
1968,391,6,5B,CA,120000,lbs
1969,391,6,5B,CA,111000,lbs
1970,391,6,5B,CA,284000,lbs
1971,391,6,5B,CA,407000,lbs
1972,391,6,5B,CA,1407000,lbs
1973,391,6,5B,CA,488000,lbs
1974,391,6,5B,CA,580000,lbs
1975,391,6,5B,CA,1048000,lbs
1950,391,6,5B,US,2736000,lbs
1951,391,6,5B,US,3774000,lbs
1952,391,6,5B,US,2987000,lbs
1953,391,6,5B,US,1011000,lbs
1954,391,6,5B,US,1065000,lbs
1955,391,6,5B,US,788000,lbs
1956,391,6,5B,US,696000,lbs
1957,391,6,5B,US,708000,lbs
1958,391,6,5B,US,429000,lbs
1959,391,6,5B,US,300000,lbs
1960,391,6,5B,US,535000,lbs
1961,391,6,5B,US,573000,lbs
1962,391,6,5B,US,1459000,lbs
1963,391,6,5B,US,1785000,lbs
1964,391,6,5B,US,1077000,lbs
1965,391,6,5B,US,1437000,lbs
1966,391,6,5B,US,1846000,lbs
1967,391,6,5B,US,2315000,lbs
1968,391,6,5B,US,2572000,lbs
1969,391,6,5B,US,4637000,lbs
1970,391,6,5B,US,3433000,lbs
1971,391,6,5B,US,3328000,lbs
1972,391,6,5B,US,3782000,lbs
1973,391,6,5B,US,4756000,lbs
1974,391,6,5B,US,2775000,lbs
1975,391,6,5B,US,1924000,lbs
1951,391,7,5C,CA,2000,lbs
1952,391,7,5C,CA,1000,lbs
1956,391,7,5C,CA,6000,lbs
1957,391,7,5C,CA,1000,lbs
1958,391,7,5C,CA,12000,lbs
1959,391,7,5C,CA,5000,lbs
1960,391,7,5C,CA,1000,lbs
1964,391,7,5C,CA,3000,lbs
1965,391,7,5C,CA,10000,lbs
1966,391,7,5C,CA,8000,lbs
1967,391,7,5C,CA,1000,lbs
1968,391,7,5C,CA,17000,lbs
1969,391,7,5C,CA,23000,lbs
1970,391,7,5C,CA,26000,lbs
1971,391,7,5C,CA,21000,lbs
1972,391,7,5C,CA,7000,lbs
1973,391,7,5C,CA,40000,lbs
1974,391,7,5C,CA,41000,lbs
1975,391,7,5C,CA,76000,lbs
1950,391,7,5C,US,35000,lbs
1951,391,7,5C,US,13000,lbs
1952,391,7,5C,US,15000,lbs
1953,391,7,5C,US,10000,lbs
1954,391,7,5C,US,19000,lbs
1955,391,7,5C,US,7000,lbs
1956,391,7,5C,US,18000,lbs
1957,391,7,5C,US,8000,lbs
1960,391,7,5C,US,3000,lbs
1961,391,7,5C,US,1000,lbs
1963,391,7,5C,US,27000,lbs
1964,391,7,5C,US,17000,lbs
1965,391,7,5C,US,56000,lbs
1966,391,7,5C,US,3000,lbs
1967,391,7,5C,US,7000,lbs
1950,391,8,5D,CA,91000,lbs
1951,391,8,5D,CA,80000,lbs
1952,391,8,5D,CA,97000,lbs
1953,391,8,5D,CA,7000,lbs
1954,391,8,5D,CA,13000,lbs
1955,391,8,5D,CA,17000,lbs
1956,391,8,5D,CA,9000,lbs
1957,391,8,5D,CA,9000,lbs
1958,391,8,5D,CA,9000,lbs
1959,391,8,5D,CA,39000,lbs
1960,391,8,5D,CA,21000,lbs
1961,391,8,5D,CA,44000,lbs
1962,391,8,5D,CA,106000,lbs
1963,391,8,5D,CA,27000,lbs
1964,391,8,5D,CA,53000,lbs
1965,391,8,5D,CA,25000,lbs
1966,391,8,5D,CA,45000,lbs
1967,391,8,5D,CA,47000,lbs
1968,391,8,5D,CA,22000,lbs
1969,391,8,5D,CA,71000,lbs
1970,391,8,5D,CA,417000,lbs
1971,391,8,5D,CA,434000,lbs
1972,391,8,5D,CA,886000,lbs
1973,391,8,5D,CA,525000,lbs
1974,391,8,5D,CA,640000,lbs
1975,391,8,5D,CA,479000,lbs
1950,391,8,5D,US,214000,lbs
1951,391,8,5D,US,98000,lbs
1952,391,8,5D,US,112000,lbs
1953,391,8,5D,US,66000,lbs
1954,391,8,5D,US,74000,lbs
1955,391,8,5D,US,115000,lbs
1956,391,8,5D,US,31000,lbs
1957,391,8,5D,US,33000,lbs
1958,391,8,5D,US,63000,lbs
1959,391,8,5D,US,85000,lbs
1960,391,8,5D,US,55000,lbs
1961,391,8,5D,US,21000,lbs
1962,391,8,5D,US,52000,lbs
1963,391,8,5D,US,10000,lbs
1964,391,8,5D,US,34000,lbs
1965,391,8,5D,US,40000,lbs
1967,391,8,5D,US,16000,lbs
1962,396,2,3B,CA,2000,lbs
1964,396,2,3B,CA,4000,lbs
1970,396,2,3B,CA,6000,lbs
1971,396,2,3B,CA,24000,lbs
1950,396,2,3B,US,82000,lbs
1951,396,2,3B,US,100000,lbs
1952,396,2,3B,US,257000,lbs
1953,396,2,3B,US,468000,lbs
1954,396,2,3B,US,984000,lbs
1955,396,2,3B,US,743000,lbs
1956,396,2,3B,US,670000,lbs
1957,396,2,3B,US,1504000,lbs
1958,396,2,3B,US,1176000,lbs
1959,396,2,3B,US,582000,lbs
1960,396,2,3B,US,1450000,lbs
1961,396,2,3B,US,1782000,lbs
1962,396,2,3B,US,1689000,lbs
1963,396,2,3B,US,1337000,lbs
1964,396,2,3B,US,1823000,lbs
1965,396,2,3B,US,457000,lbs
1966,396,2,3B,US,552000,lbs
1967,396,2,3B,US,163000,lbs
1968,396,2,3B,US,648000,lbs
1969,396,2,3B,US,341000,lbs
1970,396,2,3B,US,571000,lbs
1971,396,2,3B,US,447000,lbs
1972,396,2,3B,US,320000,lbs
1973,396,2,3B,US,244000,lbs
1974,396,2,3B,US,50000,lbs
1975,396,2,3B,US,318000,lbs
1961,396,3,3C,CA,2000,lbs
1963,396,3,3C,CA,5000,lbs
1964,396,3,3C,CA,91000,lbs
1965,396,3,3C,CA,13000,lbs
1966,396,3,3C,CA,5000,lbs
1967,396,3,3C,CA,10000,lbs
1969,396,3,3C,CA,3000,lbs
1970,396,3,3C,CA,659000,lbs
1971,396,3,3C,CA,456000,lbs
1972,396,3,3C,CA,159000,lbs
1975,396,3,3C,CA,12000,lbs
1950,396,3,3C,US,123000,lbs
1951,396,3,3C,US,150000,lbs
1952,396,3,3C,US,783000,lbs
1953,396,3,3C,US,701000,lbs
1954,396,3,3C,US,1551000,lbs
1955,396,3,3C,US,1010000,lbs
1956,396,3,3C,US,1440000,lbs
1957,396,3,3C,US,1105000,lbs
1958,396,3,3C,US,264000,lbs
1959,396,3,3C,US,1202000,lbs
1960,396,3,3C,US,1572000,lbs
1961,396,3,3C,US,1602000,lbs
1962,396,3,3C,US,4723000,lbs
1963,396,3,3C,US,5401000,lbs
1964,396,3,3C,US,2626000,lbs
1965,396,3,3C,US,5722000,lbs
1966,396,3,3C,US,4247000,lbs
1967,396,3,3C,US,1416000,lbs
1968,396,3,3C,US,421000,lbs
1969,396,3,3C,US,685000,lbs
1970,396,3,3C,US,2494000,lbs
1971,396,3,3C,US,1407000,lbs
1972,396,3,3C,US,607000,lbs
1973,396,3,3C,US,428000,lbs
1974,396,3,3C,US,533000,lbs
1975,396,3,3C,US,521000,lbs
1961,396,4,3D,CA,10000,lbs
1962,396,4,3D,CA,5000,lbs
1964,396,4,3D,CA,4000,lbs
1965,396,4,3D,CA,1000,lbs
1967,396,4,3D,CA,6000,lbs
1969,396,4,3D,CA,3000,lbs
1970,396,4,3D,CA,12000,lbs
1971,396,4,3D,CA,25000,lbs
1972,396,4,3D,CA,99000,lbs
1974,396,4,3D,CA,6000,lbs
1950,396,4,3D,US,37000,lbs
1951,396,4,3D,US,45000,lbs
1952,396,4,3D,US,114000,lbs
1953,396,4,3D,US,208000,lbs
1954,396,4,3D,US,271000,lbs
1955,396,4,3D,US,499000,lbs
1956,396,4,3D,US,121000,lbs
1957,396,4,3D,US,564000,lbs
1958,396,4,3D,US,105000,lbs
1959,396,4,3D,US,348000,lbs
1960,396,4,3D,US,449000,lbs
1961,396,4,3D,US,2081000,lbs
1962,396,4,3D,US,2084000,lbs
1963,396,4,3D,US,1781000,lbs
1964,396,4,3D,US,962000,lbs
1965,396,4,3D,US,509000,lbs
1966,396,4,3D,US,394000,lbs
1967,396,4,3D,US,180000,lbs
1968,396,4,3D,US,148000,lbs
1969,396,4,3D,US,253000,lbs
1970,396,4,3D,US,567000,lbs
1971,396,4,3D,US,186000,lbs
1972,396,4,3D,US,187000,lbs
1973,396,4,3D,US,85000,lbs
1974,396,4,3D,US,44000,lbs
1975,396,4,3D,US,119000,lbs
1950,396,68,4A,US,30000,lbs
1965,396,68,4A,US,2000,lbs
1955,396,1,4B,CA,1000,lbs
1964,396,1,4B,CA,5000,lbs
1966,396,1,4B,CA,2000,lbs
1970,396,1,4B,CA,4000,lbs
1971,396,1,4B,CA,1000,lbs
1972,396,1,4B,CA,1000,lbs
1956,396,5,5A,CA,24000,lbs
1957,396,5,5A,CA,31000,lbs
1958,396,5,5A,CA,132000,lbs
1959,396,5,5A,CA,380000,lbs
1960,396,5,5A,CA,21000,lbs
1961,396,5,5A,CA,31000,lbs
1962,396,5,5A,CA,8000,lbs
1963,396,5,5A,CA,28000,lbs
1964,396,5,5A,CA,206000,lbs
1965,396,5,5A,CA,1035000,lbs
1966,396,5,5A,CA,1721000,lbs
1967,396,5,5A,CA,347000,lbs
1968,396,5,5A,CA,325000,lbs
1969,396,5,5A,CA,1307000,lbs
1970,396,5,5A,CA,2188000,lbs
1971,396,5,5A,CA,504000,lbs
1972,396,5,5A,CA,1341000,lbs
1973,396,5,5A,CA,376000,lbs
1974,396,5,5A,CA,107000,lbs
1975,396,5,5A,CA,202000,lbs
1950,396,5,5A,US,30000,lbs
1951,396,5,5A,US,35000,lbs
1952,396,5,5A,US,90000,lbs
1953,396,5,5A,US,164000,lbs
1954,396,5,5A,US,242000,lbs
1955,396,5,5A,US,361000,lbs
1956,396,5,5A,US,870000,lbs
1957,396,5,5A,US,705000,lbs
1958,396,5,5A,US,467000,lbs
1959,396,5,5A,US,3132000,lbs
1960,396,5,5A,US,1597000,lbs
1961,396,5,5A,US,917000,lbs
1962,396,5,5A,US,1006000,lbs
1963,396,5,5A,US,2201000,lbs
1964,396,5,5A,US,3407000,lbs
1965,396,5,5A,US,4059000,lbs
1966,396,5,5A,US,4860000,lbs
1967,396,5,5A,US,2150000,lbs
1968,396,5,5A,US,3554000,lbs
1969,396,5,5A,US,3182000,lbs
1970,396,5,5A,US,3323000,lbs
1971,396,5,5A,US,2314000,lbs
1972,396,5,5A,US,2572000,lbs
1973,396,5,5A,US,941000,lbs
1974,396,5,5A,US,665000,lbs
1975,396,5,5A,US,400000,lbs
1953,396,6,5B,CA,407000,lbs
1954,396,6,5B,CA,475000,lbs
1955,396,6,5B,CA,23000,lbs
1956,396,6,5B,CA,286000,lbs
1957,396,6,5B,CA,180000,lbs
1958,396,6,5B,CA,562000,lbs
1959,396,6,5B,CA,130000,lbs
1960,396,6,5B,CA,765000,lbs
1961,396,6,5B,CA,228000,lbs
1962,396,6,5B,CA,1164000,lbs
1963,396,6,5B,CA,966000,lbs
1964,396,6,5B,CA,717000,lbs
1965,396,6,5B,CA,2022000,lbs
1966,396,6,5B,CA,3484000,lbs
1967,396,6,5B,CA,500000,lbs
1968,396,6,5B,CA,1607000,lbs
1969,396,6,5B,CA,2001000,lbs
1970,396,6,5B,CA,1695000,lbs
1971,396,6,5B,CA,1918000,lbs
1972,396,6,5B,CA,3501000,lbs
1973,396,6,5B,CA,2623000,lbs
1974,396,6,5B,CA,3190000,lbs
1975,396,6,5B,CA,3835000,lbs
1950,396,6,5B,US,274000,lbs
1951,396,6,5B,US,334000,lbs
1952,396,6,5B,US,452000,lbs
1953,396,6,5B,US,1560000,lbs
1954,396,6,5B,US,4884000,lbs
1955,396,6,5B,US,856000,lbs
1956,396,6,5B,US,1742000,lbs
1957,396,6,5B,US,1403000,lbs
1958,396,6,5B,US,880000,lbs
1959,396,6,5B,US,541000,lbs
1960,396,6,5B,US,1317000,lbs
1961,396,6,5B,US,1467000,lbs
1962,396,6,5B,US,1874000,lbs
1963,396,6,5B,US,4989000,lbs
1964,396,6,5B,US,3401000,lbs
1965,396,6,5B,US,3663000,lbs
1966,396,6,5B,US,8131000,lbs
1967,396,6,5B,US,9669000,lbs
1968,396,6,5B,US,7853000,lbs
1969,396,6,5B,US,8122000,lbs
1970,396,6,5B,US,6191000,lbs
1971,396,6,5B,US,4444000,lbs
1972,396,6,5B,US,4847000,lbs
1973,396,6,5B,US,4053000,lbs
1974,396,6,5B,US,4091000,lbs
1975,396,6,5B,US,1528000,lbs
1956,396,7,5C,CA,27000,lbs
1958,396,7,5C,CA,9000,lbs
1965,396,7,5C,CA,2000,lbs
1966,396,7,5C,CA,1000,lbs
1973,396,7,5C,CA,52000,lbs
1974,396,7,5C,CA,34000,lbs
1975,396,7,5C,CA,302000,lbs
1955,396,7,5C,US,2000,lbs
1956,396,7,5C,US,132000,lbs
1957,396,7,5C,US,10000,lbs
1958,396,7,5C,US,25000,lbs
1959,396,7,5C,US,5000,lbs
1960,396,7,5C,US,65000,lbs
1963,396,7,5C,US,55000,lbs
1964,396,7,5C,US,29000,lbs
1965,396,7,5C,US,109000,lbs
1967,396,7,5C,US,75000,lbs
1970,396,7,5C,US,1000,lbs
1955,396,8,5D,CA,5000,lbs
1956,396,8,5D,CA,2000,lbs
1957,396,8,5D,CA,4000,lbs
1963,396,8,5D,CA,2000,lbs
1964,396,8,5D,CA,12000,lbs
1966,396,8,5D,CA,2000,lbs
1967,396,8,5D,CA,1000,lbs
1969,396,8,5D,CA,1000,lbs
1970,396,8,5D,CA,57000,lbs
1971,396,8,5D,CA,17000,lbs
1972,396,8,5D,CA,30000,lbs
1973,396,8,5D,CA,33000,lbs
1974,396,8,5D,CA,33000,lbs
1975,396,8,5D,CA,147000,lbs
1955,396,8,5D,US,2000,lbs
1958,396,8,5D,US,12000,lbs
1961,396,8,5D,US,1000,lbs
1963,396,8,5D,US,1000,lbs
1958,621,2,3B,CA,3000,lbs
1967,621,2,3B,CA,1000,lbs
1950,621,2,3B,US,2000,lbs
1951,621,2,3B,US,2000,lbs
1952,621,2,3B,US,2000,lbs
1953,621,2,3B,US,1000,lbs
1954,621,2,3B,US,3000,lbs
1960,621,2,3B,US,4000,lbs
1961,621,2,3B,US,2000,lbs
1964,621,2,3B,US,7000,lbs
1967,621,2,3B,US,4000,lbs
1969,621,2,3B,US,1000,lbs
1970,621,2,3B,US,5000,lbs
1973,621,2,3B,US,2000,lbs
1974,621,2,3B,US,1000,lbs
1975,621,2,3B,US,1000,lbs
1950,621,3,3C,CA,99000,lbs
1951,621,3,3C,CA,106000,lbs
1952,621,3,3C,CA,102000,lbs
1953,621,3,3C,CA,64000,lbs
1954,621,3,3C,CA,170000,lbs
1955,621,3,3C,CA,138000,lbs
1956,621,3,3C,CA,82000,lbs
1957,621,3,3C,CA,89000,lbs
1958,621,3,3C,CA,49000,lbs
1959,621,3,3C,CA,50000,lbs
1960,621,3,3C,CA,102000,lbs
1961,621,3,3C,CA,108000,lbs
1962,621,3,3C,CA,93000,lbs
1963,621,3,3C,CA,95000,lbs
1964,621,3,3C,CA,120000,lbs
1965,621,3,3C,CA,174000,lbs
1966,621,3,3C,CA,314000,lbs
1967,621,3,3C,CA,224000,lbs
1968,621,3,3C,CA,143000,lbs
1969,621,3,3C,CA,153000,lbs
1970,621,3,3C,CA,131000,lbs
1971,621,3,3C,CA,204000,lbs
1972,621,3,3C,CA,380000,lbs
1973,621,3,3C,CA,315000,lbs
1974,621,3,3C,CA,263000,lbs
1975,621,3,3C,CA,238000,lbs
1956,621,3,3C,US,3000,lbs
1957,621,3,3C,US,41000,lbs
1958,621,3,3C,US,2000,lbs
1959,621,3,3C,US,88000,lbs
1960,621,3,3C,US,122000,lbs
1961,621,3,3C,US,47000,lbs
1962,621,3,3C,US,185000,lbs
1963,621,3,3C,US,90000,lbs
1964,621,3,3C,US,48000,lbs
1965,621,3,3C,US,97000,lbs
1966,621,3,3C,US,72000,lbs
1967,621,3,3C,US,159000,lbs
1968,621,3,3C,US,69000,lbs
1969,621,3,3C,US,37000,lbs
1970,621,3,3C,US,17000,lbs
1971,621,3,3C,US,88000,lbs
1972,621,3,3C,US,79000,lbs
1973,621,3,3C,US,27000,lbs
1974,621,3,3C,US,35000,lbs
1975,621,3,3C,US,37000,lbs
1950,621,4,3D,CA,46000,lbs
1951,621,4,3D,CA,68000,lbs
1952,621,4,3D,CA,69000,lbs
1953,621,4,3D,CA,3000,lbs
1954,621,4,3D,CA,56000,lbs
1955,621,4,3D,CA,124000,lbs
1956,621,4,3D,CA,112000,lbs
1957,621,4,3D,CA,56000,lbs
